N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.5	KOUQ	2.74651	1.29702	0.0418	0.16125	0.002975	0
5	0.5	KOUQ	2.7753	1.31332	0.033672	0.16128	0.00354	0
6	0.5	KOUQ	2.77188	1.31143	0.0278833	0.159933	0.003675	0
7	0.5	KOUQ	2.7996	1.32644	0.0236939	0.158543	0.00365	0
8	0.5	KOUQ	2.78966	1.32114	0.0208641	0.159325	0.0037875	0
9	0.5	KOUQ	2.77228	1.31165	0.0184901	0.158622	0.00388333	0
10	0.5	KOUQ	2.80807	1.33088	0.016767	0.15964	0.00401	0
11	0.5	KOUQ	2.78305	1.31757	0.0149504	0.1568	0.00381818	0
12	0.5	KOUQ	2.79862	1.32592	0.0138722	0.158367	0.0040375	0
13	0.5	KOUQ	2.80607	1.32984	0.0128692	0.158546	0.00435769	0
14	0.5	KOUQ	2.80675	1.33019	0.0118719	0.157829	0.00418214	0
15	0.5	KOUQ	2.79256	1.3227	0.0110773	0.157767	0.00419667	0
16	0.5	KOUQ	2.8012	1.32728	0.0104457	0.158831	0.00414375	0
17	0.5	KOUQ	2.80469	1.32912	0.00982249	0.158665	0.00415294	0
18	0.5	KOUQ	2.81209	1.33296	0.00929599	0.158644	0.00433611	0
19	0.5	KOUQ	2.81333	1.3336	0.00880416	0.158684	0.00428947	0
20	0.5	KOUQ	2.79654	1.32482	0.008302	0.15777	0.0041275	0
21	0.5	KOUQ	2.81371	1.33379	0.00794036	0.158357	0.00419048	0
22	0.5	KOUQ	2.82196	1.33801	0.0075938	0.158086	0.00447727	0
23	0.5	KOUQ	2.80572	1.32965	0.00721626	0.157322	0.00431957	0
24	0.5	KOUQ	2.81473	1.33432	0.00695087	0.157875	0.00446875	0
25	0.5	KOUQ	2.81412	1.334	0.00668656	0.158292	0.00443	0
26	0.5	KOUQ	2.81649	1.33522	0.00641583	0.157908	0.00444615	0
27	0.5	KOUQ	2.81383	1.33386	0.006169	0.157704	0.00442407	0
28	0.5	KOUQ	2.80867	1.33119	0.00592997	0.157282	0.00437143	0
29	0.5	KOUQ	2.8207	1.33737	0.0057654	0.158203	0.0044931	0
30	0.5	KOUQ	2.8141	1.33399	0.00556533	0.158237	0.004355	0
31	0.5	KOUQ	2.80868	1.3312	0.00537721	0.157819	0.00443065	0
32	0.5	KOUQ	2.82189	1.33797	0.00522803	0.158256	0.0045125	0
33	0.5	KOUQ	2.82016	1.33709	0.00503104	0.157497	0.00425455	0
34	0.5	KOUQ	2.82152	1.33778	0.00493218	0.158744	0.00447059	0
35	0.5	KOUQ	2.80965	1.3317	0.00473461	0.156691	0.0045	0
36	0.5	KOUQ	2.81103	1.33241	0.00461775	0.157269	0.00447778	0
37	0.5	KOUQ	2.80366	1.32857	0.00448503	0.157046	0.00444189	0
38	0.5	KOUQ	2.82309	1.33858	0.00438989	0.157753	0.00453026	0
39	0.5	KOUQ	2.81703	1.3355	0.00426654	0.157559	0.00441026	0
40	0.5	KOUQ	2.80764	1.33065	0.00415325	0.157413	0.0043525	0
41	0.5	KOUQ	2.81457	1.33423	0.00407222	0.158061	0.00444024	0
42	0.5	KOUQ	2.81054	1.33216	0.0039559	0.157179	0.00447976	0
43	0.5	KOUQ	2.81308	1.33347	0.00387301	0.157686	0.00442326	0
44	0.5	KOUQ	2.80838	1.33104	0.00376699	0.156998	0.00437045	0
45	0.5	KOUQ	2.81392	1.3339	0.00371235	0.157976	0.00453222	0
46	0.5	KOUQ	2.82307	1.33857	0.00363157	0.157887	0.00457609	0
47	0.5	KOUQ	2.81958	1.3368	0.00353961	0.157383	0.00448085	0
48	0.5	KOUQ	2.81361	1.33374	0.00346758	0.157231	0.00460313	0
49	0.5	KOUQ	2.81501	1.33446	0.00340404	0.157769	0.00450612	0
50	0.5	KOUQ	2.81268	1.33326	0.0033252	0.157154	0.004545	0
51	0.5	KOUQ	2.81281	1.33333	0.00326105	0.157522	0.0043902	0
52	0.5	KOUQ	2.82747	1.34079	0.0032125	0.157946	0.00454808	0
53	0.5	KOUQ	2.81629	1.33512	0.0031534	0.158128	0.00449434	0
54	0.5	KOUQ	2.81815	1.33607	0.00308296	0.157496	0.00448519	0
55	0.5	KOUQ	2.82213	1.33809	0.00304228	0.157938	0.00468636	0
56	0.5	KOUQ	2.81534	1.33463	0.00297669	0.157488	0.00459732	0
57	0.5	KOUQ	2.82028	1.33715	0.00292607	0.157777	0.00449649	0
58	0.5	KOUQ	2.8132	1.33353	0.00287901	0.157921	0.00452241	0
59	0.5	KOUQ	2.81968	1.33685	0.00282252	0.157485	0.00451356	0
60	0.5	KOUQ	2.82608	1.34009	0.00278117	0.15795	0.00445333	0
61	0.5	KOUQ	2.82625	1.34017	0.00273263	0.157449	0.00461557	0
62	0.5	KOUQ	2.81376	1.33382	0.00268528	0.157429	0.00452177	0
63	0.5	KOUQ	2.81337	1.33362	0.00265011	0.157762	0.00459286	0
64	0.5	KOUQ	2.82253	1.3383	0.00260381	0.157642	0.00449219	0
65	0.5	KOUQ	2.82199	1.33802	0.00256978	0.157897	0.00456385	0
66	0.5	KOUQ	2.81341	1.33364	0.00251791	0.157111	0.00452879	0
