N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	1	INQ	17.1956	6.05691	0.0548187	0.219275	0.0568625	0
5	1	INQ	17.7381	6.75656	0.042596	0.21298	0.06001	0
6	1	INQ	17.823	6.5821	0.0353194	0.211917	0.0605417	5.0005e-05
7	1	INQ	18.2149	7.07071	0.0296735	0.207714	0.0626429	0.000342891
8	1	INQ	18.5188	7.45434	0.0255516	0.204412	0.0642937	0.00161266
9	1	INQ	18.5578	7.50885	0.0226716	0.204044	0.0644778	0.00180018
10	1	INQ	18.5587	7.47685	0.020402	0.20402	0.06449	0.00108011
11	1	INQ	18.5737	7.38502	0.0185372	0.203909	0.0645455	0.0012274
12	1	INQ	18.6525	7.56944	0.0169208	0.20305	0.064975	0.0019502
13	1	INQ	18.7242	7.51471	0.0155609	0.202292	0.0653538	0.00210021
14	1	INQ	18.9326	7.8305	0.014302	0.200229	0.0663857	0.00214307
15	1	INQ	18.8162	7.78137	0.013428	0.20142	0.06579	0.00262026
16	1	INQ	18.8516	7.71334	0.0125633	0.201013	0.0659938	0.00191269
17	1	INQ	19.0931	8.37209	0.0116751	0.198476	0.0672618	0.00494167
18	1	INQ	19.041	8.01616	0.0110642	0.199156	0.0669222	0.00275028
19	1	INQ	19.0924	8.07027	0.0104535	0.198616	0.0671921	0.00361615
20	1	INQ	19.0374	8.07987	0.0099585	0.19917	0.066915	0.00337534
21	1	INQ	19.0628	7.91491	0.00947052	0.198881	0.0670595	0.00261455
22	1	INQ	19.0487	8.10382	0.00904607	0.199014	0.0669932	0.00354581
23	1	INQ	19.158	8.17248	0.00860737	0.19797	0.0675152	0.00360036
24	1	INQ	19.0612	8.08984	0.00828889	0.198933	0.0670333	0.00356286
25	1	INQ	19.1214	8.21778	0.00793184	0.198296	0.067352	0.00385239
26	1	INQ	19.1746	8.15904	0.00760858	0.197823	0.0675885	0.00384269
27	1	INQ	18.9798	7.92936	0.00739698	0.199719	0.0666407	0.00295585
28	1	INQ	19.109	8.27772	0.00708495	0.198379	0.0673107	0.0041147
29	1	INQ	19.0065	8.02473	0.00687883	0.199486	0.0667569	0.00274165
30	1	INQ	19.1231	8.20115	0.00661011	0.198303	0.0673483	0.00422042
31	1	INQ	19.1708	8.19657	0.00638096	0.19781	0.0675952	0.00395846
32	1	INQ	19.1079	8.04826	0.00620293	0.198494	0.0672531	0.00311281
33	1	INQ	19.1524	8.14868	0.00600092	0.19803	0.0674848	0.00386402
34	1	INQ	19.112	8.09206	0.00583547	0.198406	0.0672971	0.00378567
35	1	INQ	19.1795	8.19477	0.00564873	0.197706	0.0676471	0.00400326
36	1	INQ	19.1724	8.15564	0.00549537	0.197833	0.0675833	0.0039504
37	1	INQ	19.1473	8.18573	0.0053534	0.198076	0.0674622	0.00392472
38	1	INQ	19.2016	8.19036	0.00519841	0.197539	0.0677303	0.00378196
39	1	INQ	19.1807	8.18803	0.00507002	0.197731	0.0676346	0.00420811
40	1	INQ	19.2958	8.45254	0.00491588	0.196635	0.0681825	0.00482298
41	1	INQ	19.1629	8.11855	0.00482731	0.19792	0.0675402	0.00340278
42	1	INQ	19.2807	8.31726	0.00468475	0.19676	0.0681202	0.00438615
43	1	INQ	19.221	8.14339	0.00458908	0.19733	0.0678349	0.00325149
44	1	INQ	19.2503	8.34337	0.00447815	0.197039	0.0679807	0.00426861
45	1	INQ	19.2192	8.15398	0.00438519	0.197333	0.0678333	0.0039604
46	1	INQ	19.2528	8.28858	0.00428398	0.197063	0.0679685	0.00440914
47	1	INQ	19.1518	8.14139	0.0042129	0.198006	0.0674968	0.0033514
48	1	INQ	19.1891	8.19694	0.00411766	0.197648	0.067676	0.00391289
49	1	INQ	19.1794	8.21643	0.00403586	0.197757	0.0676214	0.00409633
50	1	INQ	19.1871	8.20261	0.00395336	0.197668	0.067666	0.00413441
51	1	INQ	19.2236	8.36472	0.00386886	0.197312	0.0678441	0.00458281
52	1	INQ	19.3335	8.48497	0.00377419	0.196258	0.0683712	0.00503127
53	1	INQ	19.2948	8.34618	0.00371007	0.196634	0.068183	0.00443818
54	1	INQ	19.2384	8.40775	0.00365168	0.197191	0.0679046	0.00472825
55	1	INQ	19.3529	8.56469	0.00356529	0.196091	0.0684545	0.0051987
56	1	INQ	19.2777	8.30736	0.00351365	0.196764	0.0681179	0.00448973
57	1	INQ	19.2926	8.38405	0.00344983	0.19664	0.0681798	0.00450571
58	1	INQ	19.2895	8.29052	0.00339129	0.196695	0.0681526	0.00410213
59	1	INQ	19.2695	8.23436	0.00333723	0.196897	0.0680517	0.00381394
60	1	INQ	19.3159	8.43993	0.00327411	0.196447	0.0682767	0.00474047
61	1	INQ	19.3121	8.32703	0.00322107	0.196485	0.0682574	0.00428403
62	1	INQ	19.2442	8.34414	0.00317955	0.197132	0.0679339	0.00423913
63	1	INQ	19.3043	8.39393	0.00311995	0.196557	0.0682214	0.00471952
64	1	INQ	19.3562	8.39263	0.00306335	0.196055	0.0684727	0.00467859
65	1	INQ	19.2279	8.22426	0.00303493	0.197271	0.0678646	0.00397424
66	1	INQ	19.2973	8.33878	0.00297867	0.196592	0.0682038	0.00455046
67	1	INQ	19.3996	8.54052	0.00291963	0.195615	0.0686925	0.0050826
68	1	INQ	19.2819	8.27447	0.00289384	0.196781	0.0681096	0.00417836
69	1	INQ	19.2985	8.28034	0.00284925	0.196599	0.0682007	0.00420042
70	1	INQ	19.2793	8.25474	0.00281127	0.196789	0.0681057	0.00412327
71	1	INQ	19.2676	8.22548	0.00277276	0.196866	0.0680669	0.00401871
72	1	INQ	19.2866	8.33514	0.00273202	0.196706	0.0681472	0.00433377
73	1	INQ	19.2941	8.26386	0.00269341	0.196619	0.0681904	0.00440592
74	1	INQ	19.2823	8.2438	0.00265888	0.196757	0.0681216	0.00418826
75	1	INQ	19.2907	8.4396	0.00262233	0.196675	0.0681627	0.00493649
76	1	INQ	19.2937	8.37458	0.0025874	0.196642	0.0681789	0.004761
77	1	INQ	19.3744	8.44616	0.00254384	0.195875	0.0685623	0.0048901
78	1	INQ	19.3179	8.27305	0.00251797	0.196401	0.0682994	0.00423889
79	1	INQ	19.3252	8.4908	0.00248503	0.196318	0.0683411	0.00461439
80	1	INQ	19.3553	8.39231	0.0024503	0.196024	0.0684881	0.00480798
81	1	INQ	19.3417	8.4	0.00242178	0.196164	0.0684179	0.00458194
82	1	INQ	19.3266	8.34486	0.00239439	0.19634	0.0683299	0.0046029
83	1	INQ	19.3461	8.34615	0.00236297	0.196127	0.0684367	0.00457275
84	1	INQ	19.3043	8.33056	0.00233968	0.196533	0.0682333	0.004254
85	1	INQ	19.3111	8.33413	0.00231143	0.196472	0.0682641	0.00459222
86	1	INQ	19.3171	8.40333	0.00228396	0.196421	0.0682895	0.00461907
87	1	INQ	19.3489	8.38609	0.0022543	0.196124	0.0684379	0.0047453
88	1	INQ	19.3168	8.40698	0.00223192	0.196409	0.0682955	0.00432316
89	1	INQ	19.312	8.35066	0.00220756	0.196473	0.0682635	0.00425099
90	1	INQ	19.2592	8.31817	0.00218849	0.196964	0.0680178	0.00431043
91	1	INQ	19.3507	8.36038	0.00215496	0.196101	0.0684495	0.00462903
92	1	INQ	19.3132	8.33744	0.00213554	0.19647	0.0682652	0.00449067
93	1	INQ	19.3475	8.41128	0.00210909	0.196145	0.0684274	0.00449722
94	1	INQ	19.266	8.20181	0.00209469	0.196901	0.0680495	0.00404083
95	1	INQ	19.3846	8.40528	0.00206098	0.195793	0.0686037	0.00457941
96	1	INQ	19.3508	8.45781	0.00204296	0.196124	0.068438	0.00477235
97	1	INQ	19.3491	8.36263	0.00202178	0.196112	0.0684438	0.00447261
