N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.25	INQ	2.5113	1.44435	0.0204625	0.08185	0	0
5	0.25	INQ	2.5195	1.42621	0.016516	0.08258	0	0
6	0.25	INQ	2.59057	1.5793	0.0139556	0.0837333	0	0
7	0.25	INQ	2.60885	1.68447	0.0121776	0.0852429	1.42857e-05	0
8	0.25	INQ	2.56651	1.49208	0.0103844	0.083075	0	0
9	0.25	INQ	2.63504	1.62539	0.00951235	0.0856111	0	0
10	0.25	INQ	2.64455	1.59117	0.008364	0.08364	0	0
11	0.25	INQ	2.63041	1.56687	0.00761405	0.0837545	0	0
12	0.25	INQ	2.64083	1.68278	0.00697014	0.0836417	0	0
13	0.25	INQ	2.62629	1.62768	0.00632071	0.0821692	0	0
14	0.25	INQ	2.63292	1.63098	0.00595153	0.0833214	0	0
15	0.25	INQ	2.655	1.702	0.00556133	0.08342	0	0
16	0.25	INQ	2.67381	1.67024	0.00512539	0.0820063	0	0
17	0.25	INQ	2.68006	1.77399	0.00490138	0.0833235	0	0
18	0.25	INQ	2.68553	1.69379	0.00463148	0.0833667	0	0
19	0.25	INQ	2.65171	1.64168	0.00439668	0.0835368	0	0
20	0.25	INQ	2.67735	1.70597	0.00417325	0.083465	0	0
21	0.25	INQ	2.6799	1.74205	0.00399116	0.0838143	2.38095e-06	0
22	0.25	INQ	2.70506	1.74628	0.0038374	0.0844227	2.27273e-06	0
23	0.25	INQ	2.69322	1.76644	0.00358563	0.0824696	2.17391e-06	0
24	0.25	INQ	2.71835	1.84801	0.00349253	0.0838208	6.25e-06	1.25013e-05
25	0.25	INQ	2.68962	1.742	0.00332704	0.083176	0	0
26	0.25	INQ	2.68177	1.73655	0.0032247	0.0838423	0	0
27	0.25	INQ	2.68502	1.71625	0.00310343	0.0837926	1.85185e-06	0
28	0.25	INQ	2.73832	1.80606	0.00299821	0.08395	1.78571e-06	0
29	0.25	INQ	2.69833	1.7498	0.00287539	0.0833862	1.72414e-06	0
30	0.25	INQ	2.6822	1.69558	0.00278411	0.0835233	0	0
31	0.25	INQ	2.67622	1.66595	0.00268356	0.0831903	0	0
32	0.25	INQ	2.66516	1.70655	0.0025916	0.0829312	0	0
33	0.25	INQ	2.70864	1.78005	0.00251442	0.0829758	1.51515e-06	0
34	0.25	INQ	2.68978	1.70191	0.00245225	0.0833765	0	0
35	0.25	INQ	2.67272	1.70696	0.00237502	0.0831257	0	0
36	0.25	INQ	2.72254	1.77465	0.00230154	0.0828556	1.38889e-06	0
37	0.25	INQ	2.69203	1.7959	0.00225968	0.0836081	4.05405e-06	0
38	0.25	INQ	2.69023	1.76545	0.00219335	0.0833474	0	7.89553e-06
39	0.25	INQ	2.69801	1.75589	0.00212183	0.0827513	1.28205e-06	0
40	0.25	INQ	2.68389	1.71938	0.002079	0.08316	3.75e-06	0
41	0.25	INQ	2.70759	1.83148	0.00203867	0.0835854	2.43902e-06	0
42	0.25	INQ	2.65378	1.66867	0.00196893	0.0826952	2.38095e-06	0
43	0.25	INQ	2.708	1.73817	0.001947	0.0837209	1.16279e-06	0
44	0.25	INQ	2.71823	1.79413	0.00189473	0.0833682	0	0
45	0.25	INQ	2.70102	1.7632	0.00184281	0.0829267	0	0
46	0.25	INQ	2.68158	1.72575	0.00180595	0.0830739	1.08696e-06	0
47	0.25	INQ	2.70299	1.77025	0.00177827	0.0835787	3.19149e-06	0
48	0.25	INQ	2.71989	1.77463	0.00174705	0.0838583	1.04167e-06	0
49	0.25	INQ	2.71659	1.77337	0.00170058	0.0833286	0	0
50	0.25	INQ	2.70552	1.76788	0.00165496	0.082748	1e-06	0
51	0.25	INQ	2.72086	1.79078	0.0016306	0.0831608	2.94118e-06	5.88294e-06
52	0.25	INQ	2.69523	1.72621	0.00160444	0.0834308	9.61538e-07	0
53	0.25	INQ	2.72304	1.80218	0.00157088	0.0832566	9.43396e-07	0
54	0.25	INQ	2.72778	1.80937	0.00154763	0.0835722	0	0
55	0.25	INQ	2.7069	1.80057	0.00151012	0.0830564	4.54545e-06	5.45509e-06
