N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.5	KOUQ	2.74651	1.29702	0.0418	0.16125	0.002975	0
5	0.5	KOUQ	2.7753	1.31332	0.033672	0.16128	0.00354	0
6	0.5	KOUQ	2.77188	1.31143	0.0278833	0.159933	0.003675	0
7	0.5	KOUQ	2.7996	1.32644	0.0236939	0.158543	0.00365	0
8	0.5	KOUQ	2.78966	1.32114	0.0208641	0.159325	0.0037875	0
9	0.5	KOUQ	2.77228	1.31165	0.0184901	0.158622	0.00388333	0
10	0.5	KOUQ	2.80807	1.33088	0.016767	0.15964	0.00401	0
11	0.5	KOUQ	2.78305	1.31757	0.0149504	0.1568	0.00381818	0
12	0.5	KOUQ	2.79862	1.32592	0.0138722	0.158367	0.0040375	0
13	0.5	KOUQ	2.80607	1.32984	0.0128692	0.158546	0.00435769	0
14	0.5	KOUQ	2.80675	1.33019	0.0118719	0.157829	0.00418214	0
15	0.5	KOUQ	2.79406	1.3235	0.011084	0.157847	0.00420667	2.0002e-05
16	0.5	KOUQ	2.80114	1.32725	0.0104453	0.158844	0.00413438	0
17	0.5	KOUQ	2.80532	1.32944	0.00982353	0.158694	0.00414706	0
18	0.5	KOUQ	2.812	1.33291	0.00929722	0.158661	0.00433611	0
19	0.5	KOUQ	2.81354	1.33371	0.00879861	0.158605	0.00427632	0
20	0.5	KOUQ	2.79654	1.32482	0.008302	0.15777	0.0041275	0
21	0.5	KOUQ	2.81371	1.33379	0.00794036	0.158357	0.00419048	0
22	0.5	KOUQ	2.82196	1.33801	0.0075938	0.158086	0.00447727	0
23	0.5	KOUQ	2.80572	1.32965	0.00721626	0.157322	0.00431957	0
24	0.5	KOUQ	2.81473	1.33432	0.00695087	0.157875	0.00446875	0
25	0.5	KOUQ	2.81412	1.334	0.00668656	0.158292	0.00443	0
26	0.5	KOUQ	2.81649	1.33522	0.00641583	0.157908	0.00444615	0
27	0.5	KOUQ	2.81383	1.33386	0.006169	0.157704	0.00442407	0
28	0.5	KOUQ	2.80867	1.33119	0.00592997	0.157282	0.00437143	0
29	0.5	KOUQ	2.8207	1.33737	0.0057654	0.158203	0.0044931	0
30	0.5	KOUQ	2.8141	1.33399	0.00556533	0.158237	0.004355	0
31	0.5	KOUQ	2.80868	1.3312	0.00537721	0.157819	0.00443065	0
32	0.5	KOUQ	2.82189	1.33797	0.00522803	0.158256	0.0045125	0
33	0.5	KOUQ	2.82016	1.33709	0.00503104	0.157497	0.00425455	0
34	0.5	KOUQ	2.82152	1.33778	0.00493218	0.158744	0.00447059	0
35	0.5	KOUQ	2.80965	1.3317	0.00473461	0.156691	0.0045	0
36	0.5	KOUQ	2.81103	1.33241	0.00461775	0.157269	0.00447778	0
37	0.5	KOUQ	2.80366	1.32857	0.00448503	0.157046	0.00444189	0
38	0.5	KOUQ	2.82309	1.33858	0.00438989	0.157753	0.00453026	0
39	0.5	KOUQ	2.81703	1.3355	0.00426654	0.157559	0.00441026	0
40	0.5	KOUQ	2.80764	1.33065	0.00415325	0.157413	0.0043525	0
41	0.5	KOUQ	2.81483	1.33437	0.00407216	0.158063	0.00444024	7.3178e-06
42	0.5	KOUQ	2.81054	1.33216	0.0039559	0.157179	0.00447976	0
43	0.5	KOUQ	2.81308	1.33347	0.00387301	0.157686	0.00442326	0
44	0.5	KOUQ	2.80838	1.33104	0.00376699	0.156998	0.00437045	0
45	0.5	KOUQ	2.81392	1.3339	0.00371235	0.157976	0.00453222	0
46	0.5	KOUQ	2.82307	1.33857	0.00363157	0.157887	0.00457609	0
47	0.5	KOUQ	2.81662	1.33529	0.00354142	0.157523	0.00445957	6.38362e-06
48	0.5	KOUQ	2.8136	1.33374	0.00346749	0.157225	0.00460104	0
49	0.5	KOUQ	2.81631	1.33513	0.00340208	0.157645	0.00452041	0
50	0.5	KOUQ	2.81268	1.33326	0.0033252	0.157154	0.004545	0
51	0.5	KOUQ	2.81281	1.33333	0.00326105	0.157522	0.0043902	0
52	0.5	KOUQ	2.82424	1.33916	0.00321087	0.157852	0.00454904	5.76981e-06
53	0.5	KOUQ	2.81692	1.33544	0.00315493	0.158181	0.00450849	0
54	0.5	KOUQ	2.81815	1.33607	0.00308296	0.157496	0.00448519	0
55	0.5	KOUQ	2.82213	1.33809	0.00304228	0.157938	0.00468636	0
56	0.5	KOUQ	2.81534	1.33463	0.00297669	0.157488	0.00459732	0
57	0.5	KOUQ	2.82028	1.33715	0.00292607	0.157777	0.00449649	0
58	0.5	KOUQ	2.8132	1.33353	0.00287901	0.157921	0.00452241	0
59	0.5	KOUQ	2.81964	1.33683	0.00282068	0.157393	0.00450339	5.08525e-06
60	0.5	KOUQ	2.82585	1.33997	0.00278281	0.15797	0.00449167	0
61	0.5	KOUQ	2.82438	1.33923	0.00273115	0.157382	0.0046041	0
62	0.5	KOUQ	2.8187	1.33635	0.00268395	0.157248	0.00457258	0
63	0.5	KOUQ	2.81309	1.33348	0.00264996	0.15774	0.00459444	0
64	0.5	KOUQ	2.82221	1.33813	0.00260352	0.157636	0.00448594	0
65	0.5	KOUQ	2.82041	1.33722	0.00257011	0.157886	0.00458077	4.61585e-06
