N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.75	INQ	12.5862	7.41661	0.0529563	0.211825	0.019225	0
5	0.75	INQ	13.0116	7.50369	0.041788	0.20894	0.02025	0
6	0.75	INQ	13.1464	7.59913	0.0346556	0.207933	0.020725	0
7	0.75	INQ	13.5868	7.90395	0.0292347	0.204643	0.0222214	0.000257169
8	0.75	INQ	13.9913	7.8515	0.0253859	0.203088	0.022975	0.000562556
9	0.75	INQ	13.6893	7.82988	0.0227531	0.204778	0.0224556	0.000466713
10	0.75	INQ	14.1536	8.24221	0.020082	0.20082	0.02396	0.00171017
11	0.75	INQ	14.0707	8.04141	0.018314	0.201455	0.0240682	0.000627335
12	0.75	INQ	14.2601	8.15171	0.0167569	0.201083	0.0244	0.00127513
13	0.75	INQ	14.5365	8.35074	0.0153284	0.199269	0.0255385	0.00180018
14	0.75	INQ	14.5327	8.45503	0.0141923	0.198693	0.0255571	0.00192876
15	0.75	INQ	14.6015	8.65285	0.0131889	0.197833	0.0260667	0.00250025
16	0.75	INQ	14.3985	8.4971	0.0124578	0.199325	0.0253062	0.00176268
17	0.75	INQ	14.5717	8.52453	0.0116426	0.197924	0.0255588	0.00201197
18	0.75	INQ	14.6531	8.71498	0.0109565	0.197217	0.0260583	0.00290029
19	0.75	INQ	14.888	8.76335	0.0103316	0.1963	0.0267132	0.00330033
20	0.75	INQ	14.736	8.69437	0.0098705	0.19741	0.026505	0.00312031
21	0.75	INQ	14.5681	8.71631	0.00940181	0.197438	0.0258262	0.00260026
22	0.75	INQ	14.8493	8.84502	0.00888636	0.1955	0.0270159	0.0039413
23	0.75	INQ	14.5135	8.56683	0.00865161	0.198987	0.0257565	0.00245242
24	0.75	INQ	14.8472	8.91453	0.00816111	0.195867	0.026825	0.00340034
25	0.75	INQ	14.7249	8.84411	0.00785472	0.196368	0.026204	0.00375638
26	0.75	INQ	14.7439	8.87815	0.00755799	0.196508	0.0266481	0.00369268
27	0.75	INQ	14.6994	8.88088	0.0072856	0.196711	0.0266389	0.00295585
28	0.75	INQ	14.7676	8.88591	0.00701492	0.196418	0.0264482	0.00312888
29	0.75	INQ	14.885	8.84388	0.00677206	0.19639	0.0267362	0.0036314
30	0.75	INQ	14.9905	8.92736	0.00651233	0.19537	0.027195	0.00379038
31	0.75	INQ	14.9439	8.90647	0.00632695	0.196135	0.0271	0.00367779
32	0.75	INQ	14.9294	8.95373	0.00611689	0.195741	0.0269531	0.00326283
33	0.75	INQ	14.891	8.99216	0.00593508	0.195858	0.0270742	0.00396403
34	0.75	INQ	14.7981	8.85592	0.00574775	0.195424	0.0266074	0.00357389
35	0.75	INQ	14.8025	8.8587	0.00559804	0.195931	0.0268657	0.00360036
36	0.75	INQ	14.8101	8.87821	0.00545147	0.196253	0.0267333	0.00343368
37	0.75	INQ	14.8355	8.81008	0.00530855	0.196416	0.0266986	0.00369767
38	0.75	INQ	14.9487	8.92851	0.00514314	0.195439	0.0271829	0.0035372
39	0.75	INQ	15.0013	9.06166	0.00500099	0.195038	0.0275615	0.00404656
40	0.75	INQ	15.136	9.04692	0.00485381	0.194153	0.0277662	0.00428293
41	0.75	INQ	14.9224	9.0753	0.00476205	0.195244	0.0272244	0.00435409
42	0.75	INQ	14.9611	8.92865	0.00465573	0.19554	0.0272131	0.00410041
43	0.75	INQ	14.9078	8.99033	0.00454749	0.195542	0.027007	0.00394225
44	0.75	INQ	15.0658	8.87108	0.00443729	0.195241	0.0273477	0.00307531
45	0.75	INQ	15.0111	8.92181	0.00433842	0.195229	0.0272622	0.00325366
46	0.75	INQ	15.0198	8.96232	0.00423355	0.194743	0.0272935	0.00411563
47	0.75	INQ	15.0935	8.88838	0.0041498	0.19504	0.0275319	0.00402168
48	0.75	INQ	15.0448	9.07079	0.00405378	0.194581	0.0276396	0.00400665
49	0.75	INQ	14.9079	8.78177	0.00399833	0.195918	0.0268724	0.00353913
50	0.75	INQ	15	9.16582	0.00389296	0.194648	0.027514	0.00427243
51	0.75	INQ	15.0254	8.99809	0.00381892	0.194765	0.0274412	0.00425925
52	0.75	INQ	14.9074	9.0848	0.00375	0.195	0.0272827	0.00390039
53	0.75	INQ	15.0358	9.01648	0.00367757	0.194911	0.0274198	0.00412683
54	0.75	INQ	15.1051	8.99279	0.0036013	0.19447	0.0278861	0.00403929
55	0.75	INQ	15.088	9.14975	0.00353379	0.194358	0.0278191	0.00438589
56	0.75	INQ	14.9779	9.00353	0.00348125	0.19495	0.0272286	0.00410398
57	0.75	INQ	15.2369	9.22489	0.003394	0.193458	0.0282026	0.00470047
58	0.75	INQ	14.9955	8.99912	0.00336216	0.195005	0.0273319	0.00395212
59	0.75	INQ	15.0402	9.11202	0.00329882	0.194631	0.0275737	0.004414
60	0.75	INQ	15.1152	9.0383	0.00324408	0.194645	0.0278067	0.00419542
61	0.75	INQ	15.086	9.00121	0.00319132	0.19467	0.0275295	0.00423977
62	0.75	INQ	15.0277	9.05431	0.00314199	0.194803	0.0276	0.00442302
63	0.75	INQ	14.9675	9.03888	0.00309544	0.195013	0.027377	0.00430995
64	0.75	INQ	15.0029	8.95382	0.00304863	0.195112	0.0275813	0.00361442
65	0.75	INQ	15.1593	9.08607	0.00299101	0.194415	0.0279531	0.00444506
66	0.75	INQ	15.0435	8.93578	0.00295466	0.195008	0.0273265	0.00356854
67	0.75	INQ	14.9836	8.95904	0.00291506	0.195309	0.027309	0.00392726
68	0.75	INQ	15.1121	9.14607	0.00284963	0.193775	0.0276287	0.00454016
69	0.75	INQ	15.1564	9.04164	0.00281836	0.194467	0.0277855	0.0039917
70	0.75	INQ	15.0837	8.87248	0.00278498	0.194949	0.0272771	0.00375466
71	0.75	INQ	15.147	8.99508	0.00274428	0.194844	0.0280394	0.00413281
72	0.75	INQ	15.0948	9.01467	0.00270532	0.194783	0.0276069	0.00440044
73	0.75	INQ	15.1734	9.15804	0.00265421	0.193758	0.0281507	0.00458265
74	0.75	INQ	15.0542	8.8805	0.00263382	0.194903	0.0273689	0.00343818
75	0.75	INQ	15.0741	8.99895	0.0025939	0.194543	0.0275307	0.00376838
76	0.75	INQ	15.2134	9.13561	0.00254948	0.193761	0.0279066	0.00413331
77	0.75	INQ	15.0275	8.99785	0.00253144	0.194921	0.027461	0.00361984
78	0.75	INQ	15.1392	9.06274	0.00249029	0.194242	0.0277385	0.00423889
79	0.75	INQ	15.0503	9.18306	0.00245973	0.194319	0.0276038	0.00439411
80	0.75	INQ	15.1445	9.08267	0.00242667	0.194134	0.0279194	0.00453045
81	0.75	INQ	15.0726	8.95923	0.00240488	0.194795	0.0274981	0.00379668
82	0.75	INQ	15.1517	9.12536	0.00236691	0.194087	0.0280073	0.00426628
83	0.75	INQ	15.0708	8.964	0.00234204	0.194389	0.0274157	0.0037558
84	0.75	INQ	15.1899	9.1242	0.00231241	0.194243	0.0280202	0.00487549
85	0.75	INQ	15.1297	9.03199	0.0022849	0.194216	0.0278882	0.00399922
86	0.75	INQ	15.1155	8.98616	0.00226179	0.194514	0.0275657	0.00395272
87	0.75	INQ	15.0316	8.97078	0.0022379	0.194698	0.0272241	0.00385556
88	0.75	INQ	15.1349	9.07603	0.00220952	0.194437	0.027842	0.00454477
89	0.75	INQ	15.0912	9.0745	0.00218383	0.194361	0.0277388	0.00434875
90	0.75	INQ	15.1761	9.06565	0.00215738	0.194164	0.0279161	0.00437044
91	0.75	INQ	15.076	9.08214	0.00213436	0.194226	0.0276676	0.00408173
92	0.75	INQ	15.02	8.98546	0.00211913	0.19496	0.0272658	0.0043537
93	0.75	INQ	15.0842	9.0121	0.00209072	0.194437	0.0275306	0.00381006
94	0.75	INQ	15.0607	9.10129	0.00206733	0.194329	0.027666	0.00412062
95	0.75	INQ	15.1254	9.06033	0.00204635	0.194403	0.0278937	0.00419095
96	0.75	INQ	15.1589	9.10941	0.00202152	0.194066	0.027975	0.00434418
97	0.75	INQ	15.0773	9.0144	0.00200452	0.194438	0.0275907	0.00442622
98	0.75	INQ	15.1713	9.06364	0.00197876	0.193918	0.0278673	0.00431982
99	0.75	INQ	15.1901	9.13476	0.0019586	0.193901	0.0278253	0.00453682
100	0.75	INQ	15.0585	9.0507	0.00194579	0.194579	0.027575	0.00428143
