N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.5	KOUQ	3.05553	1.75627	0.0418	0.166125	0.0005375	0
5	0.5	KOUQ	3.1071	1.81368	0.033672	0.16676	0.0008	0
6	0.5	KOUQ	3.14516	1.85265	0.0278833	0.165567	0.000858333	0
7	0.5	KOUQ	3.14507	1.82187	0.0236939	0.164157	0.000842857	0
8	0.5	KOUQ	3.14696	1.82764	0.0208641	0.165013	0.00094375	0
9	0.5	KOUQ	3.1441	1.85087	0.0184901	0.164467	0.000961111	0
10	0.5	KOUQ	3.17246	1.85292	0.016767	0.16555	0.001055	0
11	0.5	KOUQ	3.14456	1.84228	0.0149504	0.162436	0.000995455	0
12	0.5	KOUQ	3.15087	1.83645	0.0138521	0.16405	0.0010875	2.50025e-05
13	0.5	KOUQ	3.18735	1.86301	0.0128769	0.164969	0.00119231	0
14	0.5	KOUQ	3.1774	1.85486	0.0119327	0.164764	0.00113929	0
15	0.5	KOUQ	3.15297	1.8401	0.0110813	0.163993	0.00111667	2.0002e-05
16	0.5	KOUQ	3.18813	1.87171	0.0104672	0.165181	0.00113437	0
17	0.5	KOUQ	3.16166	1.83962	0.00981073	0.164506	0.00112647	1.76488e-05
18	0.5	KOUQ	3.19627	1.86597	0.00926512	0.164567	0.00109167	0
19	0.5	KOUQ	3.19186	1.8636	0.00879363	0.164895	0.00108158	1.57911e-05
20	0.5	KOUQ	3.16993	1.85446	0.008302	0.16392	0.001045	0
21	0.5	KOUQ	3.19743	1.86341	0.00794014	0.164662	0.00103095	2.85743e-05
22	0.5	KOUQ	3.22042	1.88063	0.0075938	0.164664	0.00118409	0
23	0.5	KOUQ	3.17652	1.85406	0.00721626	0.163526	0.00121522	0
24	0.5	KOUQ	3.21393	1.88699	0.00695087	0.164425	0.00119375	0
25	0.5	KOUQ	3.20361	1.87941	0.00668656	0.164704	0.001222	0
26	0.5	KOUQ	3.19559	1.86801	0.00642855	0.164692	0.00121346	1.15396e-05
27	0.5	KOUQ	3.2018	1.87736	0.00617229	0.164244	0.0012037	3.33367e-05
28	0.5	KOUQ	3.18523	1.8663	0.00594043	0.163929	0.00119107	1.07154e-05
29	0.5	KOUQ	3.2146	1.887	0.00576897	0.164779	0.00124483	1.03459e-05
30	0.5	KOUQ	3.19644	1.86657	0.00556278	0.164497	0.00118667	0
31	0.5	KOUQ	3.2	1.8742	0.00537492	0.164242	0.00117742	0
32	0.5	KOUQ	3.23522	1.89598	0.00523691	0.165228	0.00117031	9.37594e-06
33	0.5	KOUQ	3.20446	1.87137	0.00503829	0.163997	0.00112727	9.09182e-06
34	0.5	KOUQ	3.21367	1.88473	0.00493071	0.165344	0.00114118	0
35	0.5	KOUQ	3.19604	1.86484	0.00473633	0.16336	0.00119571	8.57229e-06
36	0.5	KOUQ	3.19756	1.87346	0.00461752	0.163764	0.00122778	1.66683e-05
37	0.5	KOUQ	3.19207	1.86967	0.004487	0.163568	0.00121081	1.62178e-05
38	0.5	KOUQ	3.22401	1.89124	0.00439017	0.164324	0.00124342	1.57911e-05
39	0.5	KOUQ	3.20161	1.86992	0.00426404	0.163933	0.00117821	7.69308e-06
40	0.5	KOUQ	3.20848	1.87713	0.00416537	0.164152	0.0012225	0
41	0.5	KOUQ	3.20208	1.87674	0.0040746	0.164556	0.00124512	1.46356e-05
42	0.5	KOUQ	3.20326	1.87987	0.00395799	0.163781	0.00122619	2.14307e-05
43	0.5	KOUQ	3.19655	1.87226	0.00387393	0.164123	0.00121977	3.48872e-05
44	0.5	KOUQ	3.19573	1.87203	0.0037657	0.163325	0.00117614	6.81886e-06
45	0.5	KOUQ	3.21048	1.88386	0.00371151	0.164569	0.00121667	1.33347e-05
46	0.5	KOUQ	3.22502	1.88863	0.00363327	0.164611	0.00125652	0
47	0.5	KOUQ	3.20192	1.87126	0.003544	0.164136	0.00120638	1.27672e-05
48	0.5	KOUQ	3.20911	1.88033	0.00347144	0.164175	0.00122292	0
49	0.5	KOUQ	3.21617	1.88272	0.0034005	0.1642	0.00120204	6.12306e-06
50	0.5	KOUQ	3.20891	1.88002	0.00332764	0.163908	0.001232	1.80018e-05
51	0.5	KOUQ	3.20385	1.87346	0.00326555	0.164116	0.00120686	2.35318e-05
52	0.5	KOUQ	3.22567	1.89424	0.00320751	0.16426	0.00125769	1.73094e-05
53	0.5	KOUQ	3.21215	1.88183	0.00315351	0.16463	0.00124623	1.69828e-05
54	0.5	KOUQ	3.21526	1.88294	0.00308625	0.164107	0.00126574	1.11122e-05
55	0.5	KOUQ	3.22569	1.89184	0.00304261	0.164791	0.00126727	0
56	0.5	KOUQ	3.21597	1.8864	0.00297643	0.16412	0.00126964	0
57	0.5	KOUQ	3.20273	1.87522	0.00292518	0.164442	0.00114298	1.57911e-05
58	0.5	KOUQ	3.21368	1.88202	0.00288026	0.164593	0.00122241	5.17293e-06
59	0.5	KOUQ	3.21071	1.8818	0.00282186	0.164032	0.00122119	2.0341e-05
60	0.5	KOUQ	3.21371	1.8766	0.00278267	0.164565	0.00119333	2.0002e-05
61	0.5	KOUQ	3.22345	1.88782	0.00273074	0.1641	0.00122787	4.91852e-06
62	0.5	KOUQ	3.21543	1.8831	0.00268587	0.163984	0.00126532	1.45176e-05
63	0.5	KOUQ	3.21704	1.88618	0.00265057	0.164462	0.00125635	1.42871e-05
64	0.5	KOUQ	3.21283	1.88349	0.00260569	0.164387	0.00117812	4.68797e-06
65	0.5	KOUQ	3.22125	1.88781	0.0025715	0.164698	0.00121692	2.30792e-05
66	0.5	KOUQ	3.20972	1.87883	0.00251926	0.163783	0.00123485	1.81836e-05
67	0.5	KOUQ	3.2129	1.88252	0.0024906	0.164419	0.00121343	1.34342e-05
68	0.5	KOUQ	3.20508	1.87326	0.00245082	0.164165	0.00123897	8.82441e-06
69	0.5	KOUQ	3.20994	1.87892	0.00241325	0.164209	0.00114493	1.30448e-05
70	0.5	KOUQ	3.22183	1.88604	0.00237563	0.163869	0.00120429	1.28584e-05
71	0.5	KOUQ	3.23175	1.89996	0.00235245	0.164404	0.00130352	1.26773e-05
