N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
77	0.5	INQ	5.70855	5.03444	0.00208187	0.160304	0.00322143	0.000198721
78	0.5	INQ	5.69653	5.00044	0.00205322	0.160151	0.00313782	0.000165401
79	0.5	INQ	5.70601	5.03199	0.00203264	0.160578	0.00311013	0.000113935
80	0.5	INQ	5.72225	4.98333	0.00200473	0.160379	0.00314625	8.25083e-05
81	0.5	INQ	5.7181	5.03063	0.00198034	0.160407	0.00319136	0.000203724
82	0.5	INQ	5.69962	4.98146	0.00195678	0.160456	0.00312195	0.000142697
83	0.5	INQ	5.70372	5.03356	0.00193185	0.160343	0.00316747	0.000242193
84	0.5	INQ	5.64171	4.9291	0.00190717	0.160202	0.00303571	7.14357e-05
85	0.5	INQ	5.6873	5.02014	0.00188317	0.160069	0.00314706	0.000162369
86	0.5	INQ	5.71781	4.98557	0.0018679	0.16064	0.00315058	0.000150015
87	0.5	INQ	5.64878	4.91887	0.0018417	0.160228	0.00301092	9.65614e-05
88	0.5	INQ	5.68304	5.00251	0.00182207	0.160342	0.00308864	0.000129558
89	0.5	INQ	5.73815	5.05665	0.00179958	0.160163	0.00327809	0.000131474
90	0.5	INQ	5.69164	4.98795	0.00178501	0.160651	0.00317222	9.66763e-05
91	0.5	INQ	5.72007	5.1011	0.00175319	0.159541	0.00323846	0.000286842
92	0.5	INQ	5.67476	5.0045	0.00174122	0.160192	0.00315924	0.000153276
93	0.5	INQ	5.68195	5.00894	0.00171953	0.159916	0.00315108	0.00014195
94	0.5	INQ	5.77892	5.12366	0.00170427	0.160201	0.00334787	0.0001947
95	0.5	INQ	5.70083	4.99834	0.0016885	0.160407	0.00312211	0.000101063
96	0.5	INQ	5.71811	5.08872	0.0016648	0.159821	0.00323594	0.00030003
97	0.5	INQ	5.75922	5.0622	0.00165213	0.160257	0.00327474	0.00017012
98	0.5	INQ	5.61377	4.90551	0.00163303	0.160037	0.00294592	0.000128584
99	0.5	INQ	5.68713	4.99746	0.00162113	0.160492	0.0031197	0.000187898
100	0.5	INQ	5.73709	5.05842	0.00160331	0.160331	0.0032595	0.000207021
