N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.5	INQ	4.79814	3.98704	0.0416125	0.16645	0.0004375	0
5	0.5	INQ	5.22697	4.5138	0.033256	0.16628	0.00065	0
6	0.5	INQ	5.64271	4.98828	0.0275528	0.165317	0.00109167	0
7	0.5	INQ	5.33319	4.86176	0.0236122	0.165286	0.0009	4.28614e-05
8	0.5	INQ	5.67537	5.03357	0.0205859	0.164687	0.00098125	0.000150015
9	0.5	INQ	5.65222	4.897	0.0182	0.1638	0.00101667	0
10	0.5	INQ	5.66041	5.01842	0.016508	0.16508	0.00096	0.000120012
11	0.5	INQ	5.73505	5.15039	0.0148008	0.162809	0.00108182	0.000109102
12	0.5	INQ	6.11269	5.39724	0.0136625	0.16395	0.00134167	0.00040004
13	0.5	INQ	6.04823	5.42386	0.0125994	0.163792	0.00135	0.000253872
14	0.5	INQ	6.01157	5.39182	0.0117327	0.164257	0.00134643	0.000385753
15	0.5	INQ	5.95703	5.42181	0.0109422	0.164133	0.00136333	0.00030003
16	0.5	INQ	6.08404	5.36806	0.0103098	0.164956	0.001375	0.000168767
17	0.5	INQ	6.00723	5.37197	0.00967024	0.164394	0.00122647	0.000247084
18	0.5	INQ	6.23195	5.62596	0.00908827	0.163589	0.00160278	0.000283362
19	0.5	INQ	6.24722	5.47423	0.00866925	0.164716	0.00151316	0.000268448
20	0.5	INQ	6.09206	5.5208	0.0081575	0.16315	0.0014075	0.000540054
21	0.5	INQ	6.22988	5.56651	0.00780454	0.163895	0.00145714	0.00030003
22	0.5	INQ	6.31574	5.70217	0.00744091	0.1637	0.00148409	0.000286392
23	0.5	INQ	6.24036	5.66806	0.00708998	0.16307	0.00152609	0.000404388
24	0.5	INQ	6.22844	5.6077	0.00677517	0.162604	0.00144792	0.000362536
25	0.5	INQ	6.465	5.81222	0.006548	0.1637	0.001744	0.000636064
26	0.5	INQ	6.24887	5.57668	0.00628757	0.163477	0.00146346	0.000346188
27	0.5	INQ	6.5099	5.85379	0.00606886	0.163859	0.00173889	0.000522274
28	0.5	INQ	6.24459	5.7386	0.005825	0.1631	0.00158036	0.000814367
29	0.5	INQ	6.44868	5.87484	0.00564078	0.163583	0.00175172	0.000879398
30	0.5	INQ	6.45991	5.76803	0.00546656	0.163997	0.00167333	0.000550055
