N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.5	KOUQ	3.05553	1.75627	0.0418	0.166125	0.0005375	0
5	0.5	KOUQ	3.1071	1.81368	0.033672	0.16676	0.0008	0
6	0.5	KOUQ	3.14516	1.85265	0.0278833	0.165567	0.000858333	0
7	0.5	KOUQ	3.14507	1.82187	0.0236939	0.164157	0.000842857	0
8	0.5	KOUQ	3.14696	1.82764	0.0208641	0.165013	0.00094375	0
9	0.5	KOUQ	3.1441	1.85087	0.0184901	0.164467	0.000961111	0
10	0.5	KOUQ	3.17246	1.85292	0.016767	0.16555	0.001055	0
11	0.5	KOUQ	3.14456	1.84228	0.0149504	0.162436	0.000995455	0
12	0.5	KOUQ	3.15354	1.83732	0.0138722	0.164233	0.00109583	0
13	0.5	KOUQ	3.18673	1.86246	0.0128692	0.164862	0.00119231	0
14	0.5	KOUQ	3.17504	1.84472	0.0118719	0.164164	0.00100714	0
15	0.5	KOUQ	3.15595	1.84167	0.011084	0.163987	0.00113333	2.0002e-05
16	0.5	KOUQ	3.16	1.84072	0.0104453	0.165	0.00105313	0
17	0.5	KOUQ	3.1639	1.83955	0.00982353	0.164735	0.00112059	0
18	0.5	KOUQ	3.19776	1.87146	0.00929722	0.164989	0.00116944	0
19	0.5	KOUQ	3.19726	1.86674	0.00879861	0.164995	0.00107632	0
20	0.5	KOUQ	3.16993	1.85446	0.008302	0.16392	0.001045	0
21	0.5	KOUQ	3.18966	1.85603	0.00794036	0.164705	0.00100714	0
22	0.5	KOUQ	3.22042	1.88063	0.0075938	0.164664	0.00118409	0
23	0.5	KOUQ	3.17652	1.85406	0.00721626	0.163526	0.00121522	0
24	0.5	KOUQ	3.21393	1.88699	0.00695087	0.164425	0.00119375	0
25	0.5	KOUQ	3.20361	1.87941	0.00668656	0.164704	0.001222	0
26	0.5	KOUQ	3.20601	1.87295	0.00641583	0.164427	0.00118462	0
27	0.5	KOUQ	3.20102	1.87557	0.006169	0.164167	0.00118889	0
28	0.5	KOUQ	3.1933	1.86846	0.00592997	0.1637	0.00115893	0
29	0.5	KOUQ	3.21473	1.88533	0.0057654	0.164728	0.00122931	0
30	0.5	KOUQ	3.19305	1.86367	0.00556533	0.164587	0.001175	0
31	0.5	KOUQ	3.19943	1.87412	0.00537721	0.164319	0.00118065	0
32	0.5	KOUQ	3.21339	1.88128	0.00522803	0.164809	0.00123125	0
33	0.5	KOUQ	3.19927	1.8623	0.00503104	0.163812	0.00109545	0
34	0.5	KOUQ	3.20898	1.87423	0.00493218	0.165256	0.00121324	0
35	0.5	KOUQ	3.19781	1.86649	0.00473461	0.163277	0.00120429	0
36	0.5	KOUQ	3.1991	1.87567	0.00461775	0.163761	0.00123056	0
37	0.5	KOUQ	3.19377	1.87357	0.00448503	0.163511	0.00120676	0
38	0.5	KOUQ	3.21721	1.88537	0.00438989	0.164282	0.00126184	0
39	0.5	KOUQ	3.20307	1.87091	0.00426654	0.163997	0.00118462	0
40	0.5	KOUQ	3.18721	1.86165	0.00415325	0.16365	0.00123	0
41	0.5	KOUQ	3.20838	1.87858	0.00407216	0.164461	0.00123902	7.3178e-06
42	0.5	KOUQ	3.20518	1.88037	0.0039559	0.163721	0.00120476	0
43	0.5	KOUQ	3.20156	1.87804	0.00387301	0.164181	0.00117558	0
44	0.5	KOUQ	3.18942	1.86451	0.00376699	0.163377	0.00117386	0
45	0.5	KOUQ	3.21113	1.88378	0.00371235	0.164596	0.00122111	0
46	0.5	KOUQ	3.21028	1.87641	0.00363157	0.164483	0.001275	0
47	0.5	KOUQ	3.20679	1.87486	0.00354142	0.16404	0.00119787	6.38362e-06
48	0.5	KOUQ	3.20844	1.88321	0.00346749	0.163873	0.00127708	0
49	0.5	KOUQ	3.21562	1.88209	0.00340208	0.164259	0.00121224	0
50	0.5	KOUQ	3.2119	1.88566	0.0033252	0.163756	0.001239	0
51	0.5	KOUQ	3.20033	1.87096	0.00326105	0.163925	0.00118627	0
52	0.5	KOUQ	3.21622	1.88374	0.00321087	0.16444	0.00125	5.76981e-06
53	0.5	KOUQ	3.21211	1.88199	0.00315493	0.164677	0.0012566	0
54	0.5	KOUQ	3.21061	1.87922	0.00308296	0.163954	0.00125278	0
55	0.5	KOUQ	3.22566	1.89221	0.00304228	0.164764	0.00127	0
56	0.5	KOUQ	3.2162	1.88679	0.00297669	0.164123	0.00127589	0
57	0.5	KOUQ	3.21564	1.88417	0.00292607	0.164393	0.00118246	0
58	0.5	KOUQ	3.21132	1.88129	0.00287901	0.164555	0.00120086	0
59	0.5	KOUQ	3.20752	1.87766	0.00282068	0.163956	0.00121864	5.08525e-06
60	0.5	KOUQ	3.21704	1.88161	0.00278281	0.164522	0.0012125	0
61	0.5	KOUQ	3.22736	1.88899	0.00273115	0.164151	0.00121885	0
62	0.5	KOUQ	3.21643	1.88029	0.00268395	0.163853	0.00126613	0
63	0.5	KOUQ	3.2159	1.88531	0.00264996	0.164444	0.00123571	0
64	0.5	KOUQ	3.21324	1.88042	0.00260352	0.164263	0.00117031	0
65	0.5	KOUQ	3.21802	1.8866	0.00257011	0.164548	0.00124538	4.61585e-06
66	0.5	KOUQ	3.20189	1.87233	0.00251781	0.163659	0.00124773	0
67	0.5	KOUQ	3.20952	1.88132	0.00248891	0.164312	0.00121567	0
68	0.5	KOUQ	3.20037	1.86705	0.00245301	0.164318	0.00123162	0
69	0.5	KOUQ	3.2101	1.88019	0.00241	0.163914	0.00117536	0
70	0.5	KOUQ	3.22674	1.89218	0.00237618	0.163911	0.00120143	0
71	0.5	KOUQ	3.2334	1.90057	0.0023538	0.164489	0.00130634	0
72	0.5	KOUQ	3.21026	1.87582	0.00231281	0.163883	0.00130556	0
73	0.5	KOUQ	3.22282	1.88538	0.00228018	0.16387	0.00127945	0
74	0.5	KOUQ	3.22241	1.88799	0.00225614	0.164416	0.00126216	0
75	0.5	KOUQ	3.21571	1.88217	0.00222167	0.164125	0.00124467	4.0004e-06
76	0.5	KOUQ	3.21346	1.87691	0.00219699	0.164474	0.00123618	0
77	0.5	KOUQ	3.19588	1.86866	0.0021603	0.163904	0.00120649	0
