N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
86	0.5	KOUQ	3.37616	2.17323	0.0019368	0.165826	0.000355233	0
87	0.5	KOUQ	3.39034	2.19226	0.00190864	0.165313	0.000348851	3.44862e-06
88	0.5	KOUQ	3.3856	2.18677	0.00189622	0.1661	0.000370455	0
89	0.5	KOUQ	3.39576	2.19515	0.00188084	0.166663	0.000352247	3.37112e-06
90	0.5	KOUQ	3.36441	2.15867	0.00184722	0.1656	0.000312778	0
91	0.5	KOUQ	3.37603	2.16621	0.00182861	0.16573	0.000324176	0
92	0.5	KOUQ	3.37927	2.16917	0.0018058	0.165457	0.000327174	0
93	0.5	KOUQ	3.38268	2.17759	0.00179405	0.166129	0.000347849	0
94	0.5	KOUQ	3.41284	2.2068	0.00177638	0.16619	0.000378191	0
95	0.5	KOUQ	3.38699	2.18155	0.00175101	0.165641	0.000337895	0
96	0.5	KOUQ	3.37033	2.16811	0.00173378	0.165758	0.000332292	0
97	0.5	KOUQ	3.38198	2.18664	0.00171705	0.165822	0.00035567	0
98	0.5	KOUQ	3.38328	2.17814	0.00170075	0.165948	0.00034949	0
99	0.5	KOUQ	3.38889	2.18014	0.00168798	0.166375	0.000355556	6.06121e-06
100	0.5	KOUQ	3.38747	2.17608	0.00167182	0.166468	0.0003445	0
