N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	1	KOUQ	6.73816	3.27904	0.083325	0.30295	0.0151	0
5	1	KOUQ	6.68312	3.29409	0.06666	0.30194	0.01563	0
6	1	KOUQ	6.71974	3.33312	0.0555472	0.2999	0.016625	5.0005e-05
7	1	KOUQ	6.69709	3.30942	0.0476082	0.298443	0.0173571	0.000128584
8	1	KOUQ	6.70148	3.27741	0.0416547	0.300025	0.0165563	0.000187519
9	1	KOUQ	6.65463	3.28017	0.0370272	0.2992	0.0169722	0.000166683
10	1	KOUQ	6.67769	3.30565	0.033326	0.29773	0.01772	0.000120012
11	1	KOUQ	6.71337	3.29442	0.030295	0.297691	0.0177318	0.000136377
12	1	KOUQ	6.69444	3.30849	0.0277687	0.29765	0.01775	0.00020002
13	1	KOUQ	6.70184	3.31585	0.0256337	0.296746	0.0182115	0.000161555
14	1	KOUQ	6.7118	3.29106	0.0238005	0.297507	0.0178393	0.000235738
15	1	KOUQ	6.67994	3.29666	0.0222084	0.29688	0.01814	0.000440044
16	1	KOUQ	6.663	3.30937	0.0208258	0.296662	0.0182406	0.000243774
17	1	KOUQ	6.73315	3.30397	0.0196007	0.297082	0.0180412	0.000264732
18	1	KOUQ	6.70974	3.28909	0.0185102	0.296722	0.0182139	0.000333367
19	1	KOUQ	6.66709	3.29868	0.0175349	0.297189	0.0179868	0.000363194
20	1	KOUQ	6.68595	3.3151	0.016657	0.29613	0.018515	0.000345035
21	1	KOUQ	6.67853	3.3142	0.0158664	0.296067	0.0185357	0.000271456
22	1	KOUQ	6.67934	3.30267	0.0151436	0.296041	0.0185545	0.000395494
23	1	KOUQ	6.67563	3.31509	0.0144849	0.295887	0.0186283	0.000391343
24	1	KOUQ	6.64958	3.3061	0.0138819	0.295908	0.0186271	0.000375038
25	1	KOUQ	6.73441	3.30819	0.0133267	0.29528	0.018944	0.000372037
26	1	KOUQ	6.69434	3.31133	0.012813	0.295846	0.0186577	0.000415426
27	1	KOUQ	6.66347	3.30692	0.0123395	0.295607	0.0187759	0.000388928
28	1	KOUQ	6.67784	3.31171	0.0119009	0.295968	0.0186036	0.000214307
29	1	KOUQ	6.67042	3.31091	0.0114883	0.295676	0.0187431	0.000382797
30	1	KOUQ	6.66916	3.30941	0.0111047	0.295423	0.018865	0.000430043
31	1	KOUQ	6.6647	3.30554	0.0107461	0.295723	0.0187242	0.000464563
32	1	KOUQ	6.65221	3.3115	0.010411	0.295519	0.0188266	0.000365662
33	1	KOUQ	6.67999	3.30714	0.0100948	0.295948	0.0186076	0.000454591
34	1	KOUQ	6.6843	3.31146	0.00979749	0.295771	0.0186971	0.000511816
35	1	KOUQ	6.68155	3.3025	0.00951812	0.295723	0.0187271	0.00041147
36	1	KOUQ	6.68676	3.30331	0.00925409	0.295917	0.0186181	0.000433377
37	1	KOUQ	6.68939	3.30708	0.00900387	0.295189	0.0189919	0.000437882
38	1	KOUQ	6.68381	3.31149	0.00876634	0.295889	0.0186368	0.000426358
39	1	KOUQ	6.68814	3.30396	0.00854149	0.295559	0.0188038	0.000484664
40	1	KOUQ	6.67547	3.31284	0.00832831	0.295655	0.0187437	0.000442544
41	1	KOUQ	6.68506	3.30967	0.00812552	0.295178	0.0189927	0.000417115
42	1	KOUQ	6.69368	3.30254	0.00793231	0.295519	0.0188202	0.000392896
43	1	KOUQ	6.6759	3.31245	0.00774635	0.295409	0.0188733	0.00054424
44	1	KOUQ	6.68051	3.30771	0.00757118	0.295636	0.0187625	0.000436407
45	1	KOUQ	6.66959	3.31435	0.00740331	0.295602	0.0187733	0.00040004
46	1	KOUQ	6.67953	3.31272	0.00724192	0.295517	0.0188239	0.000443523
47	1	KOUQ	6.6869	3.30415	0.00708796	0.2955	0.018834	0.00044047
48	1	KOUQ	6.67862	3.31094	0.00693989	0.295704	0.0187313	0.000493799
49	1	KOUQ	6.67998	3.30457	0.00679846	0.295398	0.0188878	0.000483722
50	1	KOUQ	6.67278	3.30658	0.00666216	0.295014	0.019074	0.00049805
51	1	KOUQ	6.66674	3.30284	0.00653172	0.295763	0.0186961	0.000470635
52	1	KOUQ	6.68416	3.31317	0.00640566	0.29509	0.0190404	0.000490434
53	1	KOUQ	6.67668	3.31601	0.00628459	0.29467	0.0192425	0.000526468
54	1	KOUQ	6.69337	3.30298	0.00616852	0.295394	0.0188833	0.000538943
55	1	KOUQ	6.67878	3.30788	0.00605683	0.295084	0.0190382	0.000436407
56	1	KOUQ	6.67267	3.30909	0.0059492	0.295412	0.0188714	0.000396468
57	1	KOUQ	6.68053	3.29982	0.00584383	0.295502	0.0188298	0.000552687
58	1	KOUQ	6.66613	3.30706	0.00574364	0.295628	0.0187664	0.000444872
59	1	KOUQ	6.67485	3.3127	0.00564582	0.295234	0.0189593	0.000513611
60	1	KOUQ	6.66247	3.30906	0.00555219	0.295455	0.0188542	0.000450045
61	1	KOUQ	6.68107	3.31458	0.00546114	0.295064	0.0190533	0.000462341
62	1	KOUQ	6.67259	3.30449	0.00537284	0.294997	0.0190863	0.000469402
63	1	KOUQ	6.6754	3.3113	0.0052872	0.295059	0.01905	0.0005191
64	1	KOUQ	6.68121	3.30488	0.00520447	0.295259	0.0189539	0.000581308
65	1	KOUQ	6.66622	3.31135	0.00512473	0.295257	0.01895	0.000516975
66	1	KOUQ	6.67881	3.30756	0.00504736	0.295388	0.0188886	0.000454591
67	1	KOUQ	6.67188	3.30957	0.00497164	0.295104	0.0190239	0.000532889
68	1	KOUQ	6.66314	3.31401	0.00489875	0.295101	0.0190331	0.000502991
69	1	KOUQ	6.68277	3.29819	0.0048277	0.294996	0.0190855	0.000491353
70	1	KOUQ	6.65129	3.31158	0.00475829	0.29541	0.0188771	0.000591488
71	1	KOUQ	6.66734	3.30174	0.00469171	0.295708	0.0187232	0.000507093
72	1	KOUQ	6.6849	3.30697	0.0046262	0.295399	0.0188854	0.000533387
73	1	KOUQ	6.65736	3.30724	0.00456279	0.295078	0.0190384	0.00055896
74	1	KOUQ	6.68557	3.31262	0.00450164	0.295096	0.0190304	0.000458154
75	1	KOUQ	6.66468	3.311	0.00444153	0.295019	0.0190687	0.000492049
76	1	KOUQ	6.6731	3.31034	0.0043827	0.294838	0.0191671	0.000572426
