N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.75	KOUQ	4.63973	2.90213	0.062125	0.24315	0.0026375	0
5	0.75	KOUQ	4.61675	2.89886	0.04988	0.24376	0.0028	0
6	0.75	KOUQ	4.66963	2.87707	0.0419111	0.245783	0.0028	0
7	0.75	KOUQ	4.69305	2.93704	0.0357265	0.2442	0.00290714	0
8	0.75	KOUQ	4.75572	2.99081	0.0311766	0.24255	0.00339375	0
9	0.75	KOUQ	4.70099	2.91986	0.0277259	0.243356	0.00304444	3.33367e-05
10	0.75	KOUQ	4.76286	2.96822	0.024984	0.24277	0.00349	3.0003e-05
11	0.75	KOUQ	4.75567	2.9798	0.0227165	0.242445	0.00370909	0.000136377
12	0.75	KOUQ	4.77843	2.96666	0.0208319	0.242808	0.00355417	2.50025e-05
13	0.75	KOUQ	4.80699	2.98921	0.0192929	0.242838	0.00394231	0
14	0.75	KOUQ	4.83465	3.00217	0.0178281	0.24195	0.00379286	2.14307e-05
15	0.75	KOUQ	4.86844	3.00933	0.0167187	0.24294	0.00391	6.0006e-05
16	0.75	KOUQ	4.83588	3.01061	0.0156168	0.24255	0.00363125	3.75038e-05
17	0.75	KOUQ	4.84347	3.00658	0.01471	0.242271	0.00388529	8.82441e-05
18	0.75	KOUQ	4.82131	2.98566	0.0139318	0.242972	0.003875	3.33367e-05
19	0.75	KOUQ	4.80106	2.97577	0.0131022	0.241353	0.00377105	7.89553e-05
20	0.75	KOUQ	4.79842	2.98154	0.012472	0.241845	0.0037725	4.50045e-05
21	0.75	KOUQ	4.79812	2.98137	0.0119054	0.24251	0.00373571	4.28614e-05
22	0.75	KOUQ	4.80849	2.9802	0.0113421	0.242168	0.00365455	6.81886e-05
23	0.75	KOUQ	4.80054	2.97989	0.0108493	0.242152	0.00366957	7.82687e-05
24	0.75	KOUQ	4.8187	2.98808	0.0104316	0.242342	0.00399167	6.25063e-05
25	0.75	KOUQ	4.80381	2.98009	0.0099736	0.241664	0.00382	4.80048e-05
26	0.75	KOUQ	4.87505	3.01353	0.00961657	0.241938	0.00402692	6.92377e-05
27	0.75	KOUQ	4.84469	2.99963	0.00926159	0.242241	0.00388333	0.000122234
28	0.75	KOUQ	4.84903	3.00715	0.00893584	0.242004	0.00408393	7.50075e-05
29	0.75	KOUQ	4.83265	2.9917	0.00864459	0.242559	0.0040431	9.31128e-05
30	0.75	KOUQ	4.8759	3.01966	0.00833678	0.242057	0.00399	8.0008e-05
31	0.75	KOUQ	4.82785	2.99624	0.00804516	0.241439	0.00397581	0.000145176
32	0.75	KOUQ	4.82805	3.00544	0.00779121	0.2412	0.00404531	8.43834e-05
33	0.75	KOUQ	4.86149	3.01084	0.00757539	0.241921	0.00401818	9.09182e-05
34	0.75	KOUQ	4.84483	2.99783	0.00735433	0.2423	0.00385441	7.05953e-05
