N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.5	KOUQ	2.74651	1.29702	0.0418	0.16125	0.002975	0
5	0.5	KOUQ	2.7753	1.31332	0.033672	0.16128	0.00354	0
6	0.5	KOUQ	2.77188	1.31143	0.0278833	0.159933	0.003675	0
7	0.5	KOUQ	2.7996	1.32644	0.0236939	0.158543	0.00365	0
8	0.5	KOUQ	2.78966	1.32114	0.0208641	0.159325	0.0037875	0
9	0.5	KOUQ	2.77228	1.31165	0.0184901	0.158622	0.00388333	0
10	0.5	KOUQ	2.80807	1.33088	0.016767	0.15964	0.00401	0
11	0.5	KOUQ	2.78305	1.31757	0.0149504	0.1568	0.00381818	0
12	0.5	KOUQ	2.79702	1.32507	0.0138521	0.158183	0.00402083	2.50025e-05
13	0.5	KOUQ	2.8068	1.33021	0.0128769	0.158662	0.00435769	0
14	0.5	KOUQ	2.81104	1.33242	0.0119327	0.158686	0.00417857	0
15	0.5	KOUQ	2.78998	1.32131	0.0110813	0.157827	0.0042	2.0002e-05
16	0.5	KOUQ	2.79739	1.32527	0.0104672	0.158744	0.00435938	0
17	0.5	KOUQ	2.80356	1.32852	0.00981073	0.158471	0.00414706	1.76488e-05
18	0.5	KOUQ	2.8118	1.33281	0.00926512	0.158311	0.004225	0
19	0.5	KOUQ	2.81122	1.33251	0.00879363	0.158553	0.00425789	1.57911e-05
20	0.5	KOUQ	2.79654	1.32482	0.008302	0.15777	0.0041275	0
21	0.5	KOUQ	2.81619	1.33507	0.00794014	0.15821	0.00426667	2.85743e-05
22	0.5	KOUQ	2.82196	1.33801	0.0075938	0.158086	0.00447727	0
23	0.5	KOUQ	2.80572	1.32965	0.00721626	0.157322	0.00431957	0
24	0.5	KOUQ	2.81473	1.33432	0.00695087	0.157875	0.00446875	0
25	0.5	KOUQ	2.81412	1.334	0.00668656	0.158292	0.00443	0
26	0.5	KOUQ	2.80946	1.3316	0.00642855	0.158212	0.00445769	1.15396e-05
27	0.5	KOUQ	2.81333	1.3336	0.00617229	0.157774	0.00444074	3.33367e-05
28	0.5	KOUQ	2.80277	1.32811	0.00594043	0.157411	0.00445357	1.07154e-05
29	0.5	KOUQ	2.8202	1.33711	0.00576897	0.158238	0.00452241	1.03459e-05
30	0.5	KOUQ	2.81524	1.33458	0.00556278	0.158113	0.00438167	0
31	0.5	KOUQ	2.80899	1.33135	0.00537492	0.157748	0.00442742	0
32	0.5	KOUQ	2.82975	1.34192	0.00523691	0.158497	0.0045375	9.37594e-06
33	0.5	KOUQ	2.81578	1.33486	0.00503829	0.157506	0.00437576	9.09182e-06
34	0.5	KOUQ	2.81882	1.33641	0.00493071	0.158632	0.00449853	0
35	0.5	KOUQ	2.8093	1.33151	0.00473633	0.15676	0.0045	8.57229e-06
36	0.5	KOUQ	2.81197	1.3329	0.00461752	0.157292	0.00446806	1.66683e-05
37	0.5	KOUQ	2.8041	1.32881	0.004487	0.1571	0.00445135	1.62178e-05
38	0.5	KOUQ	2.82397	1.33902	0.00439017	0.157747	0.00453421	1.57911e-05
39	0.5	KOUQ	2.81565	1.33479	0.00426404	0.157505	0.00439359	7.69308e-06
40	0.5	KOUQ	2.81856	1.33628	0.00416537	0.15763	0.004485	0
41	0.5	KOUQ	2.81163	1.33272	0.0040746	0.158183	0.00443537	1.46356e-05
42	0.5	KOUQ	2.8097	1.33172	0.00395799	0.157245	0.00449524	2.14307e-05
43	0.5	KOUQ	2.81271	1.33328	0.00387393	0.157647	0.00446163	3.48872e-05
44	0.5	KOUQ	2.80646	1.33004	0.0037657	0.156864	0.00441136	6.81886e-06
45	0.5	KOUQ	2.81391	1.3339	0.00371151	0.157978	0.00451778	1.33347e-05
46	0.5	KOUQ	2.82672	1.34041	0.00363327	0.157798	0.00466413	0
47	0.5	KOUQ	2.81742	1.3357	0.003544	0.157696	0.00443085	1.27672e-05
48	0.5	KOUQ	2.81599	1.33496	0.00347144	0.1576	0.00451354	0
49	0.5	KOUQ	2.81799	1.33599	0.0034005	0.157598	0.00450816	6.12306e-06
50	0.5	KOUQ	2.8132	1.33353	0.00332764	0.157334	0.004521	1.80018e-05
51	0.5	KOUQ	2.81317	1.33351	0.00326555	0.157633	0.00445	2.35318e-05
52	0.5	KOUQ	2.82372	1.3389	0.00320751	0.15756	0.00461154	1.73094e-05
53	0.5	KOUQ	2.8187	1.33635	0.00315351	0.158092	0.00451792	1.69828e-05
54	0.5	KOUQ	2.81977	1.33689	0.00308625	0.157606	0.00451944	1.11122e-05
55	0.5	KOUQ	2.82257	1.33832	0.00304261	0.157973	0.00468	0
56	0.5	KOUQ	2.81563	1.33478	0.00297643	0.157489	0.0045875	0
57	0.5	KOUQ	2.81248	1.33316	0.00292518	0.157853	0.00444123	1.57911e-05
58	0.5	KOUQ	2.81784	1.33591	0.00288026	0.157979	0.00453103	5.17293e-06
59	0.5	KOUQ	2.82063	1.33733	0.00282186	0.157475	0.00450339	2.0341e-05
60	0.5	KOUQ	2.82585	1.33997	0.00278267	0.158037	0.00445917	2.0002e-05
61	0.5	KOUQ	2.82317	1.33862	0.00273074	0.157374	0.00459344	4.91852e-06
